KalmanPitch,KalmanYaw,LinearAccelMag,TotalAccelMag,GyroMag,lat,lng,kecepatan,sat,throttle,arus,millis,attempt
2.13,-7.45,0.26,9.87,0.81,0.0,0.0,10.0,0,99,14726.26,45291,1
2.05,-7.5,0.23,9.84,1.04,0.0,0.0,10.0,0,99,14086.91,45498,1
2.11,-7.76,0.15,9.92,2.18,0.0,0.0,10.0,0,99,11341.86,45705,1
2.18,-7.75,0.26,9.86,0.85,0.0,0.0,10.0,0,99,14317.32,45913,1
2.21,-7.75,0.29,9.91,0.98,0.0,0.0,10.0,0,99,14643.86,46120,1
2.21,-7.56,0.35,9.98,0.38,0.0,0.0,10.0,0,99,14660.64,46327,1
2.24,-7.49,0.18,9.91,0.64,0.0,0.0,10.0,0,99,14732.36,46537,1
2.25,-7.64,0.48,9.94,1.62,0.0,0.0,10.0,0,99,14697.27,46745,1
2.28,-7.51,0.25,9.86,0.59,0.0,0.0,10.0,0,99,14735.41,46953,1
2.3,-7.53,0.23,9.92,0.92,0.0,0.0,10.0,0,99,14120.48,47161,1
2.28,-7.72,0.56,9.92,1.71,0.0,0.0,10.0,0,99,14566.04,47369,1
2.26,-8.07,0.19,9.89,2.62,0.0,0.0,10.0,0,99,0.0,47577,1
2.29,-8.01,0.37,9.82,0.7,0.0,0.0,10.0,0,99,13554.38,47790,1
2.25,-7.9,0.25,9.89,0.47,0.0,0.0,10.0,0,99,13858.03,48000,1
2.23,-7.77,0.22,9.85,0.63,0.0,0.0,10.0,0,99,7231.14,48207,1
2.22,-7.89,0.36,9.86,1.49,0.0,0.0,10.0,0,0,6771.85,48414,1
2.18,-8.12,0.48,9.88,1.94,0.0,0.0,10.0,0,0,329.59,48621,1
2.23,-8.15,0.55,9.84,1.11,0.0,0.0,10.0,0,0,0.0,48828,1
2.24,-8.26,0.62,9.9,1.36,0.0,0.0,10.0,0,0,0.0,49035,1
2.26,-8.21,0.32,9.96,0.71,0.0,0.0,10.0,0,0,0.0,49242,1
2.2,-8.34,0.28,9.83,1.56,0.0,0.0,10.0,0,0,0.0,49452,1
2.14,-8.46,0.28,9.83,1.56,0.0,0.0,10.0,0,0,0.0,49660,1
2.12,-8.41,0.47,9.77,0.83,0.0,0.0,10.0,0,0,0.0,49867,1
2.1,-8.41,0.36,9.8,0.99,0.0,0.0,10.0,0,0,0.0,50074,1
