KalmanPitch,KalmanYaw,LinearAccelMag,TotalAccelMag,GyroMag,lat,lng,kecepatan,sat,throttle,arus,millis
6.76,-9.90,0.68,9.96,0.80,-6.910297,107.675446,0.20,12,0,9.16,656840
6.77,-9.89,0.70,9.87,0.73,-6.910297,107.675446,0.30,12,0,7.63,657047
6.79,-9.92,0.66,9.87,0.97,-6.910298,107.675446,0.06,12,0,7.63,657254
6.79,-10.00,0.67,9.87,1.10,-6.910298,107.675446,0.06,12,0,7.63,657461
6.78,-10.00,0.69,9.87,0.72,-6.910298,107.675446,0.19,12,0,9.16,657668
6.76,-9.98,0.56,9.82,0.67,-6.910298,107.675446,0.04,12,0,9.16,657875
6.77,-9.97,0.67,9.88,0.73,-6.910299,107.675446,0.06,12,0,6.10,658084
6.76,-9.99,0.73,9.87,0.83,-6.910299,107.675446,0.28,12,0,7.63,658291
6.76,-10.05,0.70,9.89,0.99,-6.910299,107.675446,0.20,12,0,7.63,658498
6.75,-10.04,0.67,9.83,0.71,-6.910299,107.675446,0.20,12,0,9.16,658705
6.75,-10.02,0.63,9.89,0.75,-6.910300,107.675446,0.20,12,0,7.63,658912
6.76,-10.05,0.71,9.81,0.91,-6.910300,107.675446,0.20,12,0,7.63,659119
6.78,-10.06,0.68,9.78,0.81,-6.910300,107.675446,0.20,12,0,9.16,659328
6.79,-10.04,0.62,9.83,0.73,-6.910300,107.675446,0.13,12,0,7.63,659535
6.77,-10.06,0.68,9.82,0.84,-6.910301,107.675446,0.17,12,0,6.10,659742
6.76,-10.08,0.66,9.83,0.83,-6.910301,107.675446,0.09,12,0,9.16,659949
6.77,-10.08,0.70,9.86,0.79,-6.910301,107.675446,0.15,12,0,7.63,660156
6.77,-10.04,0.69,9.88,0.65,-6.910301,107.675446,0.19,12,0,9.16,660363
6.78,-10.04,0.63,9.88,0.74,-6.910301,107.675446,0.19,12,0,6.10,660570
6.80,-10.01,0.66,9.80,0.77,-6.910302,107.675446,0.28,12,0,7.63,660779
6.79,-9.99,0.70,9.92,0.62,-6.910302,107.675446,0.22,12,0,0.00,660986
6.75,-9.97,0.65,9.89,0.71,-6.910302,107.675446,0.19,12,0,9.16,661193
6.73,-9.96,0.68,9.82,0.79,-6.910302,107.675446,0.15,12,0,7.63,661400
6.73,-9.91,0.70,9.86,0.60,-6.910303,107.675446,0.15,12,0,7.63,661607
6.72,-9.90,0.71,9.86,0.70,-6.910303,107.675438,0.15,12,0,9.16,661814
6.73,-9.91,0.66,9.88,0.85,-6.910303,107.675438,0.15,12,0,7.63,662021
6.75,-9.89,0.64,9.80,0.75,-6.910303,107.675438,0.15,12,0,9.16,662230
6.74,-9.88,0.58,9.87,0.68,-6.910303,107.675438,0.06,12,0,6.10,662437
6.74,-9.88,0.62,9.85,0.81,-6.910304,107.675438,0.22,12,0,7.63,662644
6.75,-9.93,0.74,9.88,0.93,-6.910304,107.675438,0.09,12,0,9.16,662851
6.53,-10.11,0.73,9.58,1.77,-6.910304,107.675438,0.31,12,0,9.16,663058
6.52,-10.05,0.60,9.88,0.56,-6.910304,107.675438,0.17,12,0,7.63,663265
6.55,-10.00,0.64,9.79,0.61,-6.910304,107.675438,0.17,12,0,10.68,663472
6.57,-9.93,0.61,9.82,0.58,-6.910304,107.675438,0.09,12,0,9.16,663681
6.56,-9.92,0.66,9.88,0.74,-6.910305,107.675438,0.02,12,0,6.10,663888
6.53,-9.94,0.65,9.85,0.85,-6.910305,107.675438,0.07,12,0,7.63,664095
6.53,-9.94,0.68,9.89,0.74,-6.910305,107.675446,0.19,12,0,7.63,664302
6.53,-9.95,0.67,9.84,0.75,-6.910305,107.675446,0.09,12,0,9.16,664509
6.53,-9.94,0.68,9.88,0.75,-6.910305,107.675446,0.28,12,0,6.10,664716
6.44,-10.02,0.62,9.68,1.10,-6.910305,107.675446,0.19,12,0,9.16,664923
6.44,-9.99,0.67,9.86,0.61,-6.910306,107.675446,0.17,12,0,0.00,665132
6.43,-9.99,0.65,9.83,0.76,-6.910306,107.675446,0.17,12,0,7.63,665339
6.46,-10.00,0.62,9.84,0.90,-6.910306,107.675446,0.22,12,0,6.10,665546
6.45,-9.99,0.68,9.86,0.70,-6.910306,107.675446,0.02,12,0,7.63,665753
6.44,-9.95,0.64,9.90,0.64,-6.910306,107.675446,0.09,12,0,9.16,665960
6.44,-9.95,0.64,9.82,0.79,-6.910306,107.675446,0.17,12,0,10.68,666168
6.44,-9.97,0.66,9.81,0.84,-6.910306,107.675446,0.30,12,0,0.00,666375
6.45,-9.97,0.64,9.87,0.77,-6.910306,107.675446,0.15,12,0,7.63,666585
6.46,-9.95,0.68,9.88,0.71,-6.910306,107.675446,0.15,12,0,7.63,666793
6.43,-9.99,0.67,9.80,0.82,-6.910306,107.675446,0.22,12,0,9.16,667000
6.43,-9.99,0.71,9.86,0.76,-6.910307,107.675446,0.09,12,0,9.16,667207
6.41,-9.98,0.63,9.91,0.70,-6.910307,107.675446,0.20,12,0,7.63,667414
6.37,-10.19,0.81,9.90,1.72,-6.910307,107.675446,0.11,12,0,7.63,667621
6.39,-10.22,0.70,9.86,0.89,-6.910307,107.675446,0.24,12,0,9.16,667828
6.38,-10.16,0.64,9.87,0.50,-6.910307,107.675446,0.06,12,0,6.10,668037
6.37,-10.14,0.65,9.84,0.69,-6.910307,107.675446,0.20,12,0,7.63,668244
6.39,-10.19,0.76,9.83,1.03,-6.910307,107.675446,0.15,12,0,6.10,668451
6.40,-10.13,0.66,9.87,0.54,-6.910308,107.675446,0.19,12,0,9.16,668658
6.40,-10.12,0.75,9.87,0.67,-6.910308,107.675446,0.22,12,0,6.10,668867
6.41,-10.17,0.76,9.74,0.91,-6.910308,107.675446,0.06,12,0,7.63,669073
6.46,-10.21,0.65,9.90,1.09,-6.910308,107.675446,0.17,12,0,7.63,669280
6.46,-10.21,0.65,9.89,0.76,-6.910308,107.675446,0.17,12,0,13.73,669505
6.49,-10.07,0.58,9.91,0.57,-6.910308,107.675446,0.02,12,0,10.68,669714
6.42,-9.80,0.69,9.84,0.83,-6.910308,107.675446,0.06,12,0,9.16,669921
6.38,-9.82,0.45,9.87,0.90,-6.910308,107.675446,0.48,12,0,9.16,670129
6.36,-9.88,0.45,9.85,1.10,-6.910309,107.675446,0.37,12,0,6.10,670336
6.29,-9.71,0.58,9.81,0.29,-6.910309,107.675446,0.28,12,0,9.16,670543
6.38,-9.65,0.43,9.95,0.92,-6.910309,107.675446,0.52,12,0,7.63,670750
6.39,-9.77,0.73,9.93,1.30,-6.910309,107.675446,0.19,12,0,10.68,670960
6.39,-9.81,0.72,9.69,0.79,-6.910309,107.675446,0.24,12,0,6.10,671167
